0.15, 0.05, 0.32, cup
1.41, -0.26, 1.54, person
1.30, -0.13, 0.95, person
-1.22, -1.59, 4.39, tv
0.68, -0.09, 1.21, bottle
0.15, 0.05, 0.32, cup
1.40, -0.26, 1.55, person
-0.66, -0.28, 1.18, person
1.30, -0.13, 0.95, person
-1.29, -1.65, 4.56, tv
-0.10, -0.09, 1.93, laptop
0.15, 0.05, 0.32, cup
1.40, -0.26, 1.54, person
1.30, -0.13, 0.95, person
0.68, -0.10, 1.23, bottle
-1.35, -1.71, 4.73, tv
-0.10, -0.10, 1.94, laptop
0.15, 0.05, 0.32, cup
1.40, -0.27, 1.55, person
-0.54, -0.21, 1.00, person
0.65, -0.09, 1.18, bottle
1.30, -0.12, 0.95, person
-1.32, -1.66, 4.61, tv
0.15, 0.05, 0.32, cup
1.39, -0.27, 1.55, person
-0.53, -0.21, 0.98, person
1.30, -0.11, 0.95, person
0.70, -0.10, 1.27, bottle
-1.36, -1.69, 4.68, tv
-0.11, -0.10, 2.04, laptop
0.15, 0.05, 0.32, cup
1.40, -0.27, 1.54, person
0.65, -0.09, 1.18, bottle
1.30, -0.11, 0.96, person
-1.32, -1.64, 4.58, tv
-0.09, -0.08, 1.82, laptop
0.15, 0.05, 0.32, cup
1.40, -0.28, 1.54, person
1.30, -0.10, 0.96, person
-1.28, -1.60, 4.47, tv
-inf, nan, nan, cup
1.33, -0.27, 1.52, person
1.29, -0.10, 0.95, person
-1.29, -1.60, 4.47, tv
-0.10, -0.09, 1.91, laptop
-inf, nan, nan, cup
1.33, -0.27, 1.52, person
1.29, -0.10, 0.96, person
-1.24, -1.54, 4.29, tv
-0.09, -0.09, 1.87, laptop
-inf, nan, nan, cup
1.32, -0.27, 1.52, person
1.29, -0.10, 0.95, person
-1.24, -1.55, 4.32, tv
-0.08, -0.09, 1.89, laptop
-inf, nan, nan, cup
1.30, -0.10, 0.95, person
-1.30, -0.49, 2.11, person
1.35, -0.28, 1.51, person
-1.36, -1.69, 4.74, tv
-0.10, -0.10, 2.04, laptop
0.15, 0.05, 0.32, cup
1.34, -0.28, 1.51, person
1.30, -0.10, 0.95, person
-1.39, -1.74, 4.87, tv
-0.08, -0.09, 1.85, laptop
0.15, 0.05, 0.32, cup
1.36, -0.28, 1.51, person
-0.52, -0.20, 0.98, person
1.30, -0.10, 0.95, person
-0.07, -0.09, 1.83, laptop
0.16, 0.05, 0.32, cup
1.40, -0.28, 1.51, person
1.30, -0.11, 0.95, person
-1.27, -1.61, 4.55, tv
-0.08, -0.09, 1.93, laptop
0.16, 0.05, 0.32, cup
1.40, -0.28, 1.50, person
1.30, -0.11, 0.94, person
-1.29, -1.64, 4.64, tv
-0.07, -0.09, 1.87, laptop
0.16, 0.05, 0.32, cup
1.39, -0.28, 1.50, person
1.30, -0.12, 0.94, person
-1.17, -1.51, 4.29, tv
-0.07, -0.09, 1.84, laptop
0.16, 0.05, 0.32, cup
1.39, -0.28, 1.50, person
1.30, -0.13, 0.94, person
-1.24, -1.59, 4.53, tv
-0.05, -0.08, 1.71, laptop
1.40, -0.28, 1.50, person
0.16, 0.05, 0.32, cup
1.30, -0.13, 0.94, person
-1.22, -1.58, 4.51, tv
-0.07, -0.09, 1.87, laptop
0.16, 0.05, 0.32, cup
1.40, -0.28, 1.50, person
1.30, -0.13, 0.94, person
